numero,url,archivo,razon
1,https://www.instagram.com/varpal/p/DaN-pBmADIw/,001.jpg,no esta en fotos de personas/clientes confirmadas
2,https://www.instagram.com/varpal/p/DaN-M8uk6UT/,002.jpg,no esta en fotos de personas/clientes confirmadas
3,https://www.instagram.com/varpal/p/DaLZ2Ngk2Le/,003.jpg,no esta en fotos de personas/clientes confirmadas
4,https://www.instagram.com/varpal/p/DaLZaUUEubj/,004.jpg,no esta en fotos de personas/clientes confirmadas
5,https://www.instagram.com/varpal/p/DaI1DMrk3Nc/,005.jpg,no esta en fotos de personas/clientes confirmadas
6,https://www.instagram.com/varpal/p/DaI0nbcE0BN/,006.jpg,no esta en fotos de personas/clientes confirmadas
7,https://www.instagram.com/varpal/p/DaGQQExkjTt/,007.jpg,no esta en fotos de personas/clientes confirmadas
8,https://www.instagram.com/varpal/p/DaGP0VsElRm/,008.jpg,no esta en fotos de personas/clientes confirmadas
9,https://www.instagram.com/varpal/p/DaDrdTtjgYN/,009.jpg,no esta en fotos de personas/clientes confirmadas
10,https://www.instagram.com/varpal/p/DaDrBJtE-xW/,010.jpg,no esta en fotos de personas/clientes confirmadas
11,https://www.instagram.com/varpal/p/DaBGqqVDbOf/,011.jpg,no esta en fotos de personas/clientes confirmadas
12,https://www.instagram.com/varpal/p/DaBGOv2jYkA/,012.jpg,no esta en fotos de personas/clientes confirmadas
13,https://www.instagram.com/varpal/p/DZ-h38Hk7US/,013.jpg,no esta en fotos de personas/clientes confirmadas
14,https://www.instagram.com/varpal/p/DZ-hbxVDIxv/,014.jpg,no esta en fotos de personas/clientes confirmadas
15,https://www.instagram.com/varpal/p/DZ79E5QE7U6/,015.jpg,no esta en fotos de personas/clientes confirmadas
16,https://www.instagram.com/varpal/p/DZ78o0xj9ih/,016.jpg,no esta en fotos de personas/clientes confirmadas
17,https://www.instagram.com/varpal/p/DZ5YR1Skx--/,017.jpg,no esta en fotos de personas/clientes confirmadas
18,https://www.instagram.com/varpal/p/DZ5X17MElJK/,018.jpg,no esta en fotos de personas/clientes confirmadas
19,https://www.instagram.com/varpal/p/DZ2zfPRE7np/,019.jpg,no esta en fotos de personas/clientes confirmadas
