numero,decision,archivo,url_instagram,nota
152,USAR,usar-clientes-reales/152-cliente-real.jpg,https://www.instagram.com/varpal/p/BSwYKZdD0aS/,foto real de cliente/entrega
153,USAR,usar-clientes-reales/153-cliente-real.jpg,https://www.instagram.com/varpal/p/BSwYHP3jEGZ/,foto real de cliente/entrega
154,USAR,usar-clientes-reales/154-cliente-real.jpg,https://www.instagram.com/varpal/p/BSwX_1JDv4B/,foto real de cliente/entrega
157,USAR,usar-clientes-reales/157-cliente-real.jpg,https://www.instagram.com/varpal/p/BSuKXIIjt9w/,foto real de cliente/entrega
158,USAR,usar-clientes-reales/158-cliente-real.jpg,https://www.instagram.com/varpal/p/BSuKQNxDpv0/,foto real de cliente/entrega
159,USAR,usar-clientes-reales/159-cliente-real.jpg,https://www.instagram.com/varpal/p/BSuKKQejan7/,foto real de cliente/entrega
160,USAR,usar-clientes-reales/160-cliente-real.jpg,https://www.instagram.com/varpal/p/BSuKGDxDIYW/,foto real de cliente/entrega
245,USAR,usar-clientes-reales/245-cliente-real.jpg,https://www.instagram.com/varpal/p/BQoAhN_D0vr/,foto real de cliente/entrega
246,USAR,usar-clientes-reales/246-cliente-real.jpg,https://www.instagram.com/varpal/p/BQoAV5tDyIl/,foto real de cliente/entrega
247,USAR,usar-clientes-reales/247-cliente-real.jpg,https://www.instagram.com/varpal/p/BQoAURnDwi0/,foto real de cliente/entrega
248,USAR,usar-clientes-reales/248-cliente-real.jpg,https://www.instagram.com/varpal/p/BQoASNZDwYa/,foto real de cliente/entrega
252,USAR,usar-clientes-reales/252-cliente-real.jpg,https://www.instagram.com/varpal/p/BQizAn2BiQF/,foto real de cliente/entrega
253,USAR,usar-clientes-reales/253-cliente-real.jpg,https://www.instagram.com/varpal/p/BQiy75fBHhc/,foto real de cliente/entrega
254,USAR,usar-clientes-reales/254-cliente-real.jpg,https://www.instagram.com/varpal/p/BQiy36EB8L_/,foto real de cliente/entrega
255,USAR,usar-clientes-reales/255-cliente-real.jpg,https://www.instagram.com/varpal/p/BQiy0JiBdR1/,foto real de cliente/entrega
100,APOYO,usar-clientes-reales/100-cliente-real.jpg,https://www.instagram.com/varpal/p/BvzwzPHnIV2/,collage historico con varias fotos reales
260,DESCARTAR,descartar-no-comercial/260-no-cliente-descartar.jpg,https://www.instagram.com/varpal/p/BQf7TddAonU/,"no es cliente, no usar"
